,date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2000-02-22,2000-02-22,3.603105357238734e+22,2.0687593279281345e+20,1.0174528976243584e+16,4.222636899205763e+16,2524011858364190.5,1.152603841027381e+18,1.12571539753172e+17,3542882124588346.5,1890363579367513.2
2000-02-23,2000-02-23,3.6014723364899103e+22,2.0002958530697118e+20,1.0797102272463484e+16,4.1937205535239656e+16,2511522751525806.5,1.1467953369927343e+18,1.1220492526435344e+17,3544329316260627.5,1891335320198955.0
2000-02-24,2000-02-24,3.5998098485307356e+22,1.9349770546073915e+20,1.1424571191639534e+16,4.165284811598265e+16,2499144750080914.0,1.1410805930191377e+18,1.1184242905537691e+17,3545869265388443.0,1892338890073500.8
2000-02-25,2000-02-25,3.5981202139766524e+22,1.8770407499831093e+20,1.2044352060842556e+16,4.13732222090939e+16,2486877533431201.0,1.1354590560734308e+18,1.11484094382234e+17,3547501795629788.5,1893374109352140.5
2000-02-26,2000-02-26,3.5964058190348217e+22,1.829309347288235e+20,1.2642222413456418e+16,4.109825410162081e+16,2474720878317464.5,1.1299301919359351e+18,1.1112996413796782e+17,3549226715089305.0,1894440788833742.5
2000-02-27,2000-02-27,3.594669042806117e+22,1.7933765116590264e+20,1.320300771226057e+16,4.082787065112306e+16,2462674625090184.0,1.1244934796954257e+18,1.1078008059114058e+17,3551043812064226.0,1895538728541831.2
2000-02-28,2000-02-28,3.592912218151634e+22,1.769879359466893e+20,1.371150100130647e+16,4.056199926072538e+16,2450738654565187.0,1.1191484075247476e+18,1.1043448516996946e+17,3552952852538849.0,1896667717102732.0
2000-02-29,2000-02-29,3.5911376141374095e+22,1.7587455164493536e+20,1.4153529936765914e+16,4.0300567945038136e+16,2438912873782167.5,1.1138944698912146e+18,1.1009321831403838e+17,3554953578676812.0,1897827531417498.5
2000-03-01,2000-03-01,3.589347428138481e+22,1.759375717702823e+20,1.4517038617167408e+16,4.0043505393155544e+16,2427197207812493.0,1.1087311659560833e+18,1.0975631938983861e+17,3557045707631284.0,1899017936384376.0
2000-03-02,2000-03-02,3.5875437769676158e+22,1.770763080705094e+20,1.4793027983837966e+16,3.979074096389157e+16,2415591594407928.0,1.103657998706667e+18,1.09423826651004e+17,3559228930124827.5,1900238684494587.2
2000-03-03,2000-03-03,3.5857286779399475e+22,1.7915665282491813e+20,1.4976210186675646e+16,3.954220457344263e+16,2404095978196000.5,1.0986744742360206e+18,1.0909577721336971e+17,3561502908410270.5,1901489515195934.8
2000-03-04,2000-03-04,3.5839040132888836e+22,1.820163112848012e+20,1.5065280046982098e+16,3.92978264638549e+16,2392710301367565.5,1.0937801005307552e+18,1.0877220700818027e+17,3563867273446046.0,1902770154008938.5
