time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-03T04:10:41.680Z,15.5007,-49.9245,10,4.7,mb,,121,9.626,0.94,us,us1000i0y1,2018-12-03T04:56:50.040Z,"North Atlantic Ocean",earthquake,10.4,1.9,0.053,106,reviewed,us,us
2018-12-03T00:41:52.640Z,-19.6534,173.4204,10,4.8,mb,,68,4.783,0.92,us,us1000i0v3,2018-12-06T06:30:10.040Z,"268km NNW of Ceva-i-Ra, Fiji",earthquake,10.6,1.8,0.064,75,reviewed,us,us
2018-12-03T00:30:45.170Z,-4.1283,128.7264,133.88,4.5,mb,,57,3.715,0.69,us,us1000i0uh,2018-12-06T06:47:01.040Z,"58km S of Saparua, Indonesia",earthquake,7.9,7.5,0.075,52,reviewed,us,us
2018-12-02T23:13:53.200Z,-52.5639,18.0448,10,5.4,mb,,27,20.194,0.97,us,us1000i0t9,2018-12-03T15:57:35.040Z,"Southwest of Africa",earthquake,5.9,1.7,0.048,149,reviewed,us,us
2018-12-02T22:32:48.480Z,-21.2757,171.44,10,5.2,mb,,98,4.714,0.98,us,us1000i0sc,2018-12-03T16:12:24.040Z,"139km NNW of Ile Hunter, New Caledonia",earthquake,5.4,1.8,0.065,79,reviewed,us,us
2018-12-02T20:05:17.170Z,-16.7303,-173.2719,35,4.6,mb,,112,3.153,0.83,us,us1000i0py,2018-12-02T21:22:21.040Z,"100km SSE of Hihifo, Tonga",earthquake,6.5,2,0.193,8,reviewed,us,us
2018-12-02T19:06:50.670Z,51.4136,-178.0346,45.18,4.6,mb,,178,0.703,0.69,us,us1000i0mc,2018-12-02T20:55:57.758Z,"52km S of Tanaga Volcano, Alaska",earthquake,12.5,8.9,0.048,130,reviewed,us,us
2018-12-02T16:52:52.460Z,15.9006,-93.7012,98.15,4.7,mb,,130,1.55,0.76,us,us1000i0k0,2018-12-02T18:11:01.040Z,"18km WNW of Tres Picos, Mexico",earthquake,5.2,8.3,0.032,298,reviewed,us,us
2018-12-02T15:04:59.450Z,-54.7627,18.4983,10,5.4,mww,,40,19.289,0.81,us,us1000i0id,2018-12-04T21:22:30.040Z,"Southwest of Africa",earthquake,6,1.8,0.06,27,reviewed,us,us
2018-12-02T13:53:56.910Z,-15.8498,-173.6462,50.45,4.9,mb,,108,2.643,0.78,us,us1000i0hn,2018-12-02T14:51:54.040Z,"15km NE of Hihifo, Tonga",earthquake,11.7,8.7,0.062,82,reviewed,us,us
